a52dec 0.7.4-12
pacman-mirrorlist 20221204-1
pam 1.5.2-1
pambase 20221020-1
pango 1:1.50.12-1
pangomm 2.46.3-1
parted 3.5-1
patch 2.7.6-8
pavucontrol 1:5.0+r61+gee77d86-2
pciutils 3.9.0-2
pcre 8.45-3
pcre2 10.40-3
pcsclite 1.9.9-2
perl 5.36.0-3
perl-error 0.17029-4
perl-mailtools 2.21-6
perl-parse-yapp 1.21-5
perl-timedate 2.33-4
picom-ibhagwan-git 1578_Next.297.gc4107bb_2021.11.03-1
pinentry 1.2.1-1
pipewire 1:0.3.63-4
pixman 0.42.2-1
pkcs11-helper 1.29.0-2
pkgconf 1.8.0-1
pkgfile 21-2
playerctl 2.4.1-3
polkit 122-1
polkit-qt5 0.114.0-1
poppler 23.01.0-3
poppler-data 0.4.11-3
poppler-glib 23.01.0-3
popt 1.19-1
postgresql 14.6-1
postgresql-libs 14.6-1
postman-bin 10.1.2-1
ppp 2.4.9-3
procps-ng 3.3.17-1
protobuf 21.12-1
psmisc 23.6-1
pulse-secure 22.2r1.0_b1295-1
pulseaudio 16.1-3
pulseaudio-alsa 1:1.2.7.1-1
pulseaudio-bluetooth 16.1-3
pulseaudio-equalizer 16.1-3
pulseaudio-jack 16.1-3
pulseaudio-lirc 16.1-3
python 3.10.9-1
python-appdirs 1.4.4-7
python-attrs 22.2.0-1
python-autocommand 2.2.2-1
python-cairo 1.23.0-2
python-cffi 1.15.1-1
python-configobj 5.0.6.r110.g3e2f4cc-3
python-cryptography 38.0.4-1
python-gobject 3.42.2-1
python-grpcio 1.51.1-2
python-inflect 6.0.2-1
python-jaraco.context 4.2.0-1
python-jaraco.functools 3.5.2-1
python-jaraco.text 3.11.0-1
python-mako 1.2.4-1
python-markdown 3.4.1-2
python-markupsafe 2.1.1-1
python-more-itertools 9.0.0-1
python-ordered-set 4.1.0-1
python-packaging 21.3-1
python-pillow 9.4.0-2
python-pip 22.3.1-1
python-ply 3.11-10
python-psutil 5.9.4-1
python-pycparser 2.21-3
python-pydantic 1.10.4-1
python-pyinotify 0.9.6-11
python-pyopenssl 23.0.0-1
python-pyparsing 3.0.9-1
python-pyqt5 5.15.7-3
python-pyqt5-sip 12.11.0-1
python-qscintilla-qt5 2.13.3-1
python-repoze.lru 0.7-8
python-routes 2.5.1-5
python-setuptools 1:65.6.3-1
python-six 1.16.0-6
python-tomli 2.0.1-1
python-trove-classifiers 2022.12.22-1
python-typing_extensions 4.4.0-1
python-validate-pyproject 0.10.1-1
python-wheel 0.38.4-1
python-xlib 0.31-4
python-yaml 6.0-1
qca-qt5 2.3.5-2
qscintilla-qt5 2.13.3-1
qt5-base 5.15.7+kde+r177-1
qt5-declarative 5.15.7+kde+r25-1
qt5-imageformats 5.15.7+kde+r6-3
qt5-multimedia 5.15.7+kde+r1-1
qt5-speech 5.15.7+kde+r1-1
qt5-svg 5.15.7+kde+r9-1
qt5-translations 5.15.7-1
qt5-wayland 5.15.7+kde+r58-1
qt5-x11extras 5.15.7-1
qt5ct 1.5-2
qt6-5compat 6.4.1-1
qt6-base 6.4.1-1
qt6-declarative 6.4.1-1
qt6-imageformats 6.4.1-3
qt6-svg 6.4.1-1
qt6-translations 6.4.1-1
qt6-wayland 6.4.1-1
rav1e 0.6.2-1
rbenv 1.2.0-1
re2 1:20221201-2
readline 8.2.001-1
resvg 0.23.0-1
rhash 1.4.3-1
rnnoise 0.4.1-1
rofi 1.7.5-1
rpmextract 1.0-9
rtkit 0.13-2
run-parts 5.5-1
runc 1.1.4-1
samba 4.17.4-2
sbc 2.0-1
scrot 1.7-1
sdl2 2.26.2-1
seahorse 1:43.0-1
sed 4.9-1
shaderc 2022.4-1
shadow 4.12.3-2
shared-mime-info 2.0+155+gf4e7cbc-1
skypeforlinux-stable-bin 8.90.0.407-1
slack-desktop 4.29.149-1
slang 2.3.3-2
slop 7.6-2
smbclient 4.17.4-2
solid 5.101.0-1
sonnet 5.101.0-1
sound-theme-freedesktop 0.8-5
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2022.4-1
spotifyd 0.3.4-1
sqlite 3.40.1-1
srt 1.5.1-3
startup-notification 0.12-7
sublime-merge 2079-1
sublime-text-3 3.3211-2
sudo 1.9.12.p1-1
svt-av1 1.4.1-1
sysfsutils 2.1.1-1
systemd 252.4-2
systemd-libs 252.4-2
systemd-sysvcompat 252.4-2
taglib 1.13-1
talloc 2.3.4-1
tar 1.34-1
tdb 1.4.7-1
teams 1.5.00.23861-1
telegram-desktop 4.5.2-1
terminator 2.1.2-2
terminus-font 4.49.1-2
tevent 1:0.13.0-1
texinfo 7.0.1-1
the_silver_searcher 2.2.0-2
thin-provisioning-tools 0.9.0-1
thunar 4.18.1-1
thunar-volman 4.18.0-1
thunderbird 102.6.1-1
totem-pl-parser 3.26.6-2
tpm2-tss 3.2.0-3
tracker3 3.4.2-1
tracker3-miners 3.4.2-2
tree-sitter 0.20.7-1
tslib 1.22-1
ttf-bitstream-vera 1.10-15
ttf-liberation 2.1.5-1
ttf-opensans 1.101-2
tty-clock-git 185.f2f847c-1
tzdata 2022g-1
udisks2 2.9.4-1
un-apple-keyboard 1.0-1
unibilium 2.1.1-1
unzip 6.0-19
update-grub 0.0.1-7
upower 1.90.0-1
usbmuxd 1.1.1-1
usbutils 015-2
util-linux 2.38.1-1
